date,tweet,Palabras,procTweet,Sentimiento,relevance,topic
2023-01-01,"Resuelto, muchísimas gracias , excelente servicio como siempre",8,resuelto  muchísimas gracias  excelente servicio siempre,1.0,1,misc
2023-01-02,"Muchas gracias, espero su dm",5,muchas gracias  espero dm,1.0,0,misc
2023-01-02,Muchas gracias!,2,muchas gracias ,1.0,0,misc
2023-01-02,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,28,similar paso  quería renovar token poder hacer transferencia cerrar cuenta wow  fácil sacar dinero ventanilla ,0.0,1,misc
2023-01-02,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! :bíceps_flexionado_tono_de_piel_claro_medio::bolsa_de_dinero:,47,yeeeei  través cuenta acabo contratar cuenta ahorro reto 2023 tener 25 mil peso final año  súper herramienta domiciliar cuenta eje así ahorrar disciplinadamente cada semana  vamos     bíceps_flexionado_tono_de_piel_claro_medio  bolsa_de_dinero ,0.0,1,misc
2023-01-02,Esta es la señal que necesitan para tener el mínimo dinero en banamex,13,señal necesitan tener mínimo dinero banamex,0.0,1,misc
2023-01-03,Gracias :cara_radiante_con_ojos_sonrientes:,2,gracias  cara_radiante_con_ojos_sonrientes ,1.0,0,misc
2023-01-03,Muchas gracias :cara_feliz_con_ojos_sonrientes:,3,muchas gracias  cara_feliz_con_ojos_sonrientes ,1.0,0,misc
2023-01-03,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",36,sé  recomiendo inversión  mejores rendimientos visto  plazo 7 días  chingón  límite 20k inversón ,1.0,1,misc
2023-01-04,Gracias por la playera que me dieron en Galerías GDL.,10,gracias playera dieron galerías gdl ,1.0,1,misc
2023-01-04,buen día...tengo problemas con mi cuenta,6,buen día  problemas cuenta,1.0,1,support
2023-01-05,Gracias,1,gracias,1.0,0,misc
2023-01-05,Mis Respetos para ustedes... Gracias por el servicio :manos_levantadas_celebrando_tono_de_piel_claro:,9,respetos ustedes  gracias servicio  manos_levantadas_celebrando_tono_de_piel_claro ,1.0,1,misc
2023-01-05,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",14,si bloquee desbloquee pude hacer deposito oxxo  gracias,1.0,0,misc
2023-01-06,"Ya todo bien, gracias :pulgar_hacia_arriba:",5,bien  gracias  pulgar_hacia_arriba ,1.0,0,misc
2023-01-06,Milagro que me gano algo :manos_formando_un_corazón_tono_de_piel_claro:,6,milagro gano  manos_formando_un_corazón_tono_de_piel_claro ,1.0,0,misc
2023-01-06,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento :luna_nueva_con_cara:,15,siii amigo jajaja padre puedes inveir da buen rendimiento  luna_nueva_con_cara ,1.0,1,misc
2023-01-06,nunca había ganado nada antes :chispas: hahaha,7,nunca ganado  chispas  hahaha,0.0,1,misc
2023-01-06,Con el CashBack de pude pagar mi servicio de internet. yei :),12,cashback pude pagar servicio internet  yei  ),1.0,1,misc
2023-01-07,Gracias!!!,1,gracias   ,1.0,0,misc
2023-01-07,"Listo, gracias",2,listo  gracias,1.0,0,misc
2023-01-07,Si gracias,2,si gracias,1.0,0,misc
2023-01-08,A mí me llegó una semana después aprox,8,llegó semana después aprox,0.0,1,misc
2023-01-09,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,15,hola buen día dudas cuenta podrían ponerse contacto  muchas gracias ,1.0,1,support
2023-01-10,Muchas gracias!,2,muchas gracias ,1.0,0,misc
2023-01-10,Muchas gracias :manos_en_oración:,3,muchas gracias  manos_en_oración ,1.0,0,misc
2023-01-10,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",27,bloquea tarjeta 5 minutos  posteriomente vuelves desbloquear agregas  solución  confirmas tweet favor ,0.0,1,support
2023-01-10,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",51,35000 udis ( 184000 ) de toda plataformas inveido mejores finsus cetes largo plazo heybanco mejor opción fondo emergencia  liquidez semanal  finsus rededor 90 % poafolio ,1.0,1,misc
2023-01-11,Excelente Gracias por responder :manos_en_oración: estaremos muy atentos :apretón_de_manos:,9,excelente gracias responder  manos_en_oración  atentos  apretón_de_manos ,1.0,0,misc
2023-01-11,"Pues bueno, me quedé sin cena, muchas gracias :pulgar_hacia_arriba:",9,pues bueno  quedé cena  muchas gracias  pulgar_hacia_arriba ,0.0,1,misc
2023-01-11,"Gracias e igualmente, bendiciones :manos_en_oración:",5,gracias igualmente  bendiciones  manos_en_oración ,1.0,0,misc
2023-01-11,Vale estoy esperando,3,vale esperando,1.0,0,misc
2023-01-11,Muchas gracias espero la respuesta,5,muchas gracias espero respuesta,1.0,0,misc
2023-01-13,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos :cara_radiante_con_ojos_sonrientes:,14,gané 99 pesitos crédito amazon coesía agradables sujetos  cara_radiante_con_ojos_sonrientes ,0.0,1,misc
2023-01-13,es mejor,2,mejor,1.0,0,misc
2023-01-13,Contéstenme por favor,3,contéstenme favor,1.0,1,support
2023-01-14,Muchas gracias que amables :cara_feliz_con_ojos_sonrientes:,5,muchas gracias amables  cara_feliz_con_ojos_sonrientes ,1.0,0,misc
2023-01-14,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",28,heybanco años cliente bancomer encontre verdad agusto servicios  app tarjetas debito credito,1.0,1,misc
2023-01-14,amigos les mandé dm gracias,5,amigo mandé dm gracias,1.0,0,misc
2023-01-14,solicito su ayuda gracias,4,solicito ayuda gracias,1.0,1,support
2023-01-15,Gracias!Ya respondí.Quedo atenta,3,gracias  respondíquedo atenta,1.0,0,misc
2023-01-16,Va gracias,2,va gracias,1.0,0,misc
2023-01-16,No sé ni a qué le piqué pero muchas gracias:cara_llorando_de_risa::corazón_rojo:,10,sé piqué muchas gracias  cara_llorando_de_risa  corazón_rojo ,0.0,0,misc
2023-01-16,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",28,planeación temporada 2023 equipos  gracias ocnfianza día 1 viene bomba patrocinio vamos doblete    } @ davilacarloss,0.0,1,misc
2023-01-16,Por eso son mi banco 1 :estrella::estrella::estrella::estrella::estrella:,7,banco 1  estrella  estrella  estrella  estrella  estrella ,1.0,0,misc
2023-01-17,Gracias,1,gracias,1.0,0,misc
2023-01-17,Thanks!,1,thanks ,1.0,0,misc
2023-01-17,Muchas gracias!,2,muchas gracias ,1.0,0,misc
2023-01-17,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",36,muchas gracias  ayudó suficiente  cargo procedió  poaron bn aun pude comunicar teléfono  amables  mil gracias interés hizo cargo,1.0,1,misc
2023-01-17,"Increíble, gracias HeyBanco!!@heybanco",3,increíble  gracias heybanco   @ heybanco,1.0,1,misc
2023-01-17,Me contestaron que sí.,4,contestaron ,0.0,0,misc
2023-01-18,Gracias,1,gracias,1.0,0,misc
2023-01-18,Gracias!,1,gracias ,1.0,0,misc
2023-01-18,Graciaaas.,1,graciaaas ,0.0,0,misc
2023-01-18,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",24,gracias pendiente  segura va poner pilas lleguen incentivos  si pidiendo apoyo ,1.0,0,misc
2023-01-18,":bolsa_de_dinero:La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",53, bolsa_de_dinero  sexta opción opción mejores  pagaré 7 días mejor mercado tasa 10 % anual solo inversión aquí $ 5000  plan metas dan rendimiento me vencido 4 % dinero disponible cualquier momento,0.0,1,misc
2023-01-18,:bandera_guatemala: qué buena onda por vos David :manos_aplaudiendo::manos_aplaudiendo: a disfrutarlo!!!,10, bandera_guatemala  buena onda vos david  manos_aplaudiendo  manos_aplaudiendo  disfrutarlo   ,1.0,0,misc
2023-01-19,¡Gracias,1,gracias,1.0,0,misc
2023-01-19,"¡Hola!, me pueden apoyar por favor :cara_haciendo_una_mueca:",7,hola   pueden apoyar favor  cara_haciendo_una_mueca ,0.0,1,support
2023-01-19,"Eso se agradece, el aviso :manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio:",6,agradece  aviso  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio ,1.0,0,misc
2023-01-19,"Gracias, ya se ve reflejado. Solucionado. Gracias",7,gracias  ve reflejado  solucionado  gracias,1.0,0,misc
2023-01-20,"Listo, gracias!",2,listo  gracias ,1.0,0,misc
2023-01-20,Muchas gracias!,2,muchas gracias ,1.0,0,misc
2023-01-20,Los tkm :palo_de_corazones:,3,tkm  palo_de_corazones ,1.0,0,misc
2023-01-20,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",14,coesía anímense sacar cuenta hey  muchas gracias regalo c  @ nei_aokii,1.0,0,misc
2023-01-20,Cof cof también :corazón_rojo::corazón_rojo:,4,cof cof  corazón_rojo  corazón_rojo ,0.0,0,misc
2023-01-20,te lo súper recomiendo. Y no te cobran el plástico.,10,súper recomiendo  cobran plástico ,1.0,1,misc
2023-01-20,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! :señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio:",18,afounadamente  méxico  da 10 % cuenta   señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio ,0.0,0,misc
2023-01-21,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",12,muchas gracias darme respuesta  solucionó problema  excelente día ,1.0,0,misc
2023-01-23,Gracias !,2,gracias ,1.0,0,misc
2023-01-23,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",18,muchas gracias  equipo ayudó resolver problema dieron recompensa gané ,1.0,1,misc
2023-01-23,Gracias ! Este mes me tocó boletoDorado,7,gracias  me tocó boletodorado,1.0,0,misc
2023-01-23,Bello!,1,bello ,1.0,0,misc
2023-01-23,Aún hay esperanza.. congrats !!,5,aún esperanza  congrats  ,1.0,0,misc
2023-01-24,Gracias :cara_feliz_con_ojos_sonrientes::cara_feliz_con_ojos_sonrientes::cara_feliz_con_ojos_sonrientes:,2,gracias  cara_feliz_con_ojos_sonrientes  cara_feliz_con_ojos_sonrientes  cara_feliz_con_ojos_sonrientes ,1.0,0,misc
2023-01-24,Gracias.,1,gracias ,1.0,0,misc
2023-01-24,Muchas gracias :señal_de_aprobación_con_la_mano::señal_de_aprobación_con_la_mano:,3,muchas gracias  señal_de_aprobación_con_la_mano  señal_de_aprobación_con_la_mano ,1.0,0,misc
2023-01-24,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,12,gracias premio boletodorado canjee tarjeta regalo,1.0,0,misc
2023-01-24,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,12,tío gracias boleto dorado  fin tocó ,1.0,0,misc
2023-01-24,No mames que buena suee!,5,mames buena suee ,1.0,0,misc
2023-01-24,"segundo premio, espero lleguen más",5,segundo premio  espero lleguen,1.0,0,misc
2023-01-25,Gracias!!!,1,gracias   ,1.0,0,misc
2023-01-25,Gracias :cara_sonriente:,2,gracias  cara_sonriente ,1.0,0,misc
2023-01-25,"Hola, esto nos beneficia a los usuarios de",8,hola  beneficia usuarios,1.0,0,misc
2023-01-26,Gracias por el apoyo con el seguimiento,7,gracias apoyo seguimiento,1.0,0,misc
2023-01-26,Gracias tio hey! Esto nos ayuda bastante.,7,gracias tio hey  ayuda bastante ,1.0,0,misc
2023-01-26,Muchas gracias Un mes gratis de,6,muchas gracias me gratis,1.0,0,misc
2023-01-27,Muchísimas gracias ya me resolvió. Saludos!,6,muchísimas gracias resolvió  saludos ,1.0,0,misc
2023-01-27,Vale gracias :cara_sonriendo_con_ojos_grandes:,3,vale gracias  cara_sonriendo_con_ojos_grandes ,1.0,0,misc
2023-01-27,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,14,funcionó  cayo sólo segundos  raro  muchas gracias,0.0,0,misc
2023-01-27,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,14,hola escribí dm par dudas tdcgracias ,0.0,0,support
2023-01-27,Gracias por ser pae de el FC Barcelona,8,gracias ser pae fc barcelona,1.0,0,misc
2023-01-27,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,29,darán crédito tradicional llevo año tarjeta credito garantía cumplido pagos tiempo forma,1.0,1,support
2023-01-28,Ok gracias,2,ok gracias,1.0,0,misc
2023-01-28,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",36,despues 1 año probando tarjeta crédito puedo decir buena hablar cuenta débito  realmente temas seguridad transacciones  top  tqm hey ,0.0,1,support
2023-01-28,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",54,amistad  usa si usa tarjeta 6 veces me compras $ 100 peso vuelves “ heypro ” inversión da rendimiento 10 % anual súper súper bien comparación bancos inveir 25 años allianz explicó prima suena rebien,1.0,1,misc
2023-01-28,Excelente,1,excelente,1.0,0,misc
2023-01-29,Me gane 2 premios,4,gane 2 premios,0.0,0,misc
2023-01-29,Amiga explícame!!!,2,amiga explícame   ,1.0,0,misc
2023-01-30,Muchas gracias por la información!,5,muchas gracias información ,1.0,0,misc
2023-01-30,ThankU!,1,thanku ,1.0,0,misc
2023-01-30,"Vientos, gracias",2,vientos  gracias,1.0,0,misc
2023-01-30,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,12,encantaria presumir premio boleto dorado  si tan solo existiera ,0.0,0,misc
2023-01-31,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,14,pueden proporcionar link invitar gente tener beneficiogracias,1.0,0,misc
2023-02-01,Gracias :manos_aplaudiendo_tono_de_piel_claro_medio:,2,gracias  manos_aplaudiendo_tono_de_piel_claro_medio ,1.0,0,misc
2023-02-01,"Gracias, lo checo",3,gracias  checo,1.0,0,misc
2023-02-01,¿Ya no habrá Viaje Financiero del 2022?:cara_desesperada: estaba muy buena esa información,12,¿ya viaje financiero 2022 ?  cara_desesperada  buena información,0.0,1,support
2023-02-01,Gracias por el dato y cómo fue soeo :ojos:?,9,gracias dato cómo soeo  ojos  ?,0.0,1,support
2023-02-01,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",23,buen día  mepueden ayudar realizaron deposito cuenta credito necesito crédito,1.0,1,support
2023-02-02,Muchas gracias,2,muchas gracias,1.0,0,misc
