date,time,tweet
2023-01-01,,"Hola @heybanco
 su ""personal"" del hospitality corriendo gente y diciéndoles que solo tienen 15 min para estar ahí, buena idea, mala ejecución y más con personal de seguridad en mal plan! Se inició bien y se terminó mal! #akamba 2do vid vieron que los grabé y cambiaron el speech"
2023-01-02,,"¿ @heybanco
 por qué “debo” recompensas?"
2023-01-02,,"No se que esta mas gato, que @heybanco
 mande estos mensajes aun faltando pra el pago, o yo por tener su pinchi cuenta pitera. Yo veda?"
2023-01-02,,"@CondusefMX
 & @Profeco
, hola, lamentablemete, ya por la cuarta vez, he tenido muchos problemas con @heybanco
 con depositos, transferencias, & reembolsos. Esto ya con clabe de rastreo & mas comprobantes. #HeyBanco se arrastra, miente, culpa a tod@s,sale con mil excusas! Es un gran"
2023-01-02,,"@CondusefMX
 & @Profeco
, hola, lamentablemete, ya por la cuarta vez, he tenido muchos problemas con @heybanco
 con depositos, transferencias, & reembolsos. Esto ya con clabe de rastreo & mas comprobantes. #HeyBanco se arrastra, miente, culpa a tod@s,sale con mil excusas! Es un gran"
2023-01-02,,"@heybanco
 Está fallando la aplicación? No he podido ingresar en todo el día."
2023-01-03,,"Es en serio @heybanco
 ? Siempre soy puntual para pagar, solo pasé por unas horas de mi fecha límite y salen con esto????"
2023-01-03,,"@heybanco
 pésima atención en este  numero me transfieren a atención a cliente y en atención a cliente me cuelgan @CondusefMX
 @Profeco
 lo único que quiero es que remueva el diferimiento o que ya de plano cierren mis cuentas tanto debido como crédito y cambiar de banco."
2023-01-03,,"@heybanco
 holi, me acaban de robar mi tarjeta y en la app no encuentro como reportarla"
2023-01-04,,hey Banco es Banregio?
2023-01-04,,"Hola, me pueden apoyar?"
2023-01-05,,"Hola @heybanco
... 🙄 No puedo realizar la activación del token móvil, me dice que no se puede comunicar con el banco. Llevo ya más de 5 intentos con su nefasta app. 😖"
2023-01-05,,"@heybanco
 mi cuenta aparece con un bloqueo temporal ¿qué significa eso? ¿Cómo me desbloquean eso? No veo la opción para hacerlo desde la app"
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias"
2023-01-06,,"He tenido ya 3 llamadas de 30 minutos cada una esta semana. Solo me dieron vueltas, excusas, información incorrecta, información evacia, hasta le echaron la culpa al @Banxico
 🤦🏻‍♂️

Ya mande un DM, con todos los comprobantes que se necesita para resolver esta, CUARTA vez."
2023-01-06,,"en la app para iOS … el del 12.5% no era para el plazo a 30 días? Y el otro para el de 7, porque ahí dice 7 días en ambos porcentajes 🕵🏻‍♂️"
2023-01-06,,"@heybanco
  pésimo servicio, llame para solicitar un simple Edo de cuenta , me dicen que no me lo pueden dar después de 40 min, por que su correo no es correcto solo por la inepta srita no sabe escribir 🤬 perdi el tiempo en atención a cliente"
2023-01-06,,nunca había ganado nada antes ✨ hahaha
2023-01-06,,"Momento de decir adiós, cobro de anualidad y membresías y tasa baja 🤔 no gracias, hay mejores opciones sin costos Nu, Uala, Klar ......
"
2023-01-07,,"Toda la innovación y brillo que tenía Hey sin duda se esfumó, se que lo de la tasa de interés no depende de ellos, pero bien podrían hacer un esfuerzo para competir con Nu o Klar a no se me olvidaba ellos solo compiten con BBVA 🤣 entonces si están bien."
2023-01-07,,"Listo, gracias"
2023-01-07,,"@heybanco
 están comenzando a aparecer cargos no renocidos, en esta ocasión son de Microsoft, en la página de Microsoft no encuentran ninguna transacción. Ya levante una aclaración en la tarjeta pero justo hoy que desbloqueo la tarjeta aparece otro"
2023-01-08,,A mí me llegó una semana después aprox
2023-01-09,,"@heybanco
 Hola, me ayudan a desbloquear mi cuenta de Hey Pago, no me permite ingresar. Por teléfono no me responden"
2023-01-10,,Esa cosa ya nadie la usa.
2023-01-10,,"Por alguna razón, desde hace días mi cuenta se bloqueó, no me deja entrar y necesito disponer de mi dinero! Necesito ayuda!!"
2023-01-10,,😔 de acuerdo!! Muchas gracias.
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio."
2023-01-11,,Son una basura. Ahora cada dia hay intermitencia. Estoy igual ayer y hoy igual sin poder hacer uso de nuestro dinero. Cambio de banco total
