date,time,tweet
01/01/2023,,"Resuelto, muchísimas gracias , excelente servicio como siempre"
02/01/2023,,"Muchas gracias, espero su dm"
02/01/2023,,Muchas gracias!
02/01/2023,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.
02/01/2023,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰
02/01/2023,,Esta es la señal que necesitan para tener el mínimo dinero en banamex
03/01/2023,,Gracias 😁
03/01/2023,,Muchas gracias 😊
03/01/2023,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón."
04/01/2023,,Gracias por la playera que me dieron en Galerías GDL.
04/01/2023,,buen día...tengo problemas con mi cuenta
05/01/2023,,Gracias
05/01/2023,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻
05/01/2023,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias"
06/01/2023,,"Ya todo bien, gracias 👍"
06/01/2023,,Milagro que me gano algo 🫶🏻
06/01/2023,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚
06/01/2023,,nunca había ganado nada antes ✨ hahaha
06/01/2023,,Con el CashBack de pude pagar mi servicio de internet. yei :)
07/01/2023,,Gracias!!!
07/01/2023,,"Listo, gracias"
07/01/2023,,Si gracias
08/01/2023,,A mí me llegó una semana después aprox
09/01/2023,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..
10/01/2023,,Muchas gracias!
10/01/2023,,Muchas gracias 🙏
10/01/2023,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor."
10/01/2023,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio."
11/01/2023,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝
11/01/2023,,"Pues bueno, me quedé sin cena, muchas gracias 👍"
11/01/2023,,"Gracias e igualmente, bendiciones 🙏"
11/01/2023,,Vale estoy esperando
11/01/2023,,Muchas gracias espero la respuesta
13/01/2023,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁
13/01/2023,,es mejor
13/01/2023,,Contéstenme por favor
14/01/2023,,Muchas gracias que amables 😊
14/01/2023,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito"
14/01/2023,,amigos les mandé dm gracias
14/01/2023,,solicito su ayuda gracias
15/01/2023,,Gracias!Ya respondí.Quedo atenta
16/01/2023,,Va gracias
16/01/2023,,No sé ni a qué le piqué pero muchas gracias😂❤️
16/01/2023,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss"
16/01/2023,,Por eso son mi banco 1 ⭐⭐⭐⭐⭐
17/01/2023,,Gracias
17/01/2023,,Thanks!
17/01/2023,,Muchas gracias!
17/01/2023,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo"
17/01/2023,,"Increíble, gracias HeyBanco!!@heybanco"
17/01/2023,,Me contestaron que sí.
18/01/2023,,Gracias
18/01/2023,,Gracias!
18/01/2023,,Graciaaas.
18/01/2023,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo."
18/01/2023,,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento"
18/01/2023,,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!
19/01/2023,,¡Gracias
19/01/2023,,"¡Hola!, me pueden apoyar por favor 😬"
19/01/2023,,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼"
19/01/2023,,"Gracias, ya se ve reflejado. Solucionado. Gracias"
20/01/2023,,"Listo, gracias!"
20/01/2023,,Muchas gracias!
20/01/2023,,Los tkm ♥️
20/01/2023,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii"
20/01/2023,,Cof cof también ❤️❤️
20/01/2023,,te lo súper recomiendo. Y no te cobran el plástico.
20/01/2023,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼"
21/01/2023,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!"
23/01/2023,,Gracias !
23/01/2023,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané."
23/01/2023,,Gracias ! Este mes me tocó boletoDorado
23/01/2023,,Bello!
23/01/2023,,Aún hay esperanza.. congrats !!
24/01/2023,,Gracias 😊😊😊
24/01/2023,,Gracias.
24/01/2023,,Muchas gracias 👌👌
24/01/2023,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo
24/01/2023,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.
24/01/2023,,No mames que buena suee!
24/01/2023,,"segundo premio, espero lleguen más"
25/01/2023,,Gracias!!!
25/01/2023,,Gracias ☺️
25/01/2023,,"Hola, esto nos beneficia a los usuarios de"
26/01/2023,,Gracias por el apoyo con el seguimiento
26/01/2023,,Gracias tio hey! Esto nos ayuda bastante.
26/01/2023,,Muchas gracias Un mes gratis de
27/01/2023,,Muchísimas gracias ya me resolvió. Saludos!
27/01/2023,,Vale gracias 😃
27/01/2023,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias
27/01/2023,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.
27/01/2023,,Gracias por ser pae de el FC Barcelona
27/01/2023,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma
28/01/2023,,Ok gracias
28/01/2023,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey."
28/01/2023,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien"
28/01/2023,,Excelente
29/01/2023,,Me gane 2 premios
29/01/2023,,Amiga explícame!!!
30/01/2023,,Muchas gracias por la información!
30/01/2023,,ThankU!
30/01/2023,,"Vientos, gracias"
30/01/2023,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...
31/01/2023,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias
01/02/2023,,Gracias 👏🏼
01/02/2023,,"Gracias, lo checo"
01/02/2023,,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información
01/02/2023,,Gracias por el dato y cómo fue soeo 👀?
01/02/2023,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito"
02/02/2023,,Muchas gracias
02/02/2023,,Gracias ya se solucionó. Buenas tardes
02/02/2023,,Lo realizaré.Gracias.
02/02/2023,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*
03/02/2023,,Me funcionó mil gracias
03/02/2023,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar
04/02/2023,,Mmm. te da el rendimiento del 10% Es buena opción.
04/02/2023,,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️
05/02/2023,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊
07/02/2023,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios"
08/02/2023,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora."
08/02/2023,,Gracias por ser el mejor banco ✨
10/02/2023,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES."
11/02/2023,,gracias
11/02/2023,,Solucionado. Gracias.
11/02/2023,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco."
11/02/2023,,Excelente servicio de atención a clientes en HeyBanco 10/10
11/02/2023,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤
13/02/2023,,Ok muchas gracias 😊
13/02/2023,,Gracias. Porque tengo una duda
13/02/2023,,¡Gracias a ti por formar pae de esta gran familia!
13/02/2023,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato."
14/02/2023,,100 % recomendado la vdd
14/02/2023,,Para ver si eres fit y viable para seguros de vida! XD
14/02/2023,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?"
15/02/2023,,😒 Gracias 😊
15/02/2023,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas)
15/02/2023,,hola ocupo ayuda con el cambio de número de celular y con mi token
16/02/2023,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí"
16/02/2023,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?"
16/02/2023,,"Pues más vale, la verdad"
16/02/2023,,Ya está todo listo..
17/02/2023,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10
17/02/2023,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.
17/02/2023,,"Gracias por la respuesta, estaré al pendiente"
18/02/2023,,Hola buenas tardes
18/02/2023,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe"
20/02/2023,,Gracias
20/02/2023,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita
21/02/2023,,Hola!!!
23/02/2023,,Saludos a
23/02/2023,,"real esa tarjeta es la neta, en general el banco es 10/10"
23/02/2023,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻"
23/02/2023,,como puedo inveir con ustedes y como se genera las ganancias para uno
24/02/2023,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.
24/02/2023,,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado
24/02/2023,,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔"
25/02/2023,,"Gracias, hasta ahorita los amo 💙"
26/02/2023,,Gracias bro
26/02/2023,,"Gracias, ya lo envié."
26/02/2023,,"Gracias por responder, quedo en espera de la solución al problema."
26/02/2023,,yo hice varias transferencias hace rato y todo bien
26/02/2023,,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente
26/02/2023,,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco
26/02/2023,,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario."
26/02/2023,,“Agradecemos tu comprensión” jaja increíble
26/02/2023,,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.
27/02/2023,,Gracias ya les respondí
27/02/2023,,Listo!! Gracias
27/02/2023,,Perfecto! Gracias ☺️
