date,tweet,relevance,topic,Palabras,procTweet,Rating,Sentimiento
2023-01-01 00:00:00,"Resuelto, muchísimas gracias , excelente servicio como siempre",1,misc,8,resuelto  muchísimas gracias  excelente servicio siempre,5,1.0
2023-01-02 00:00:00,"Muchas gracias, espero su dm",0,misc,5,muchas gracias  espero dm,5,1.0
2023-01-02 00:00:00,Muchas gracias!,0,misc,2,muchas gracias ,5,1.0
2023-01-02 00:00:00,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,1,misc,28,similar paso  quería renovar token poder hacer transferencia cerrar cuenta wow  fácil sacar dinero ventanilla ,1,0.0
2023-01-02 00:00:00,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! :bíceps_flexionado_tono_de_piel_claro_medio::bolsa_de_dinero:,1,misc,47,yeeeei  través cuenta acabo contratar cuenta ahorro reto 2023 tener 25 mil peso final año  súper herramienta domiciliar cuenta eje así ahorrar disciplinadamente cada semana  vamos     bíceps_flexionado_tono_de_piel_claro_medio  bolsa_de_dinero ,1,0.0
2023-01-02 00:00:00,Esta es la señal que necesitan para tener el mínimo dinero en banamex,1,misc,13,señal necesitan tener mínimo dinero banamex,1,0.0
2023-01-03 00:00:00,Gracias :cara_radiante_con_ojos_sonrientes:,0,misc,2,gracias  cara_radiante_con_ojos_sonrientes ,5,1.0
2023-01-03 00:00:00,Muchas gracias :cara_feliz_con_ojos_sonrientes:,0,misc,3,muchas gracias  cara_feliz_con_ojos_sonrientes ,5,1.0
2023-01-03 00:00:00,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",1,misc,36,sé  recomiendo inversión  mejores rendimientos visto  plazo 7 días  chingón  límite 20k inversón ,5,1.0
2023-01-04 00:00:00,Gracias por la playera que me dieron en Galerías GDL.,1,misc,10,gracias playera dieron galerías gdl ,5,1.0
2023-01-04 00:00:00,buen día...tengo problemas con mi cuenta,1,support,6,buen día  problemas cuenta,4,1.0
2023-01-05 00:00:00,Gracias,0,misc,1,gracias,5,1.0
2023-01-05 00:00:00,Mis Respetos para ustedes... Gracias por el servicio :manos_levantadas_celebrando_tono_de_piel_claro:,1,misc,9,respetos ustedes  gracias servicio  manos_levantadas_celebrando_tono_de_piel_claro ,5,1.0
2023-01-05 00:00:00,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",1,misc,14,si bloquee desbloquee pude hacer deposito oxxo  gracias,1,0.0
2023-01-06 00:00:00,"Ya todo bien, gracias :pulgar_hacia_arriba:",0,misc,5,bien  gracias  pulgar_hacia_arriba ,4,1.0
2023-01-06 00:00:00,Milagro que me gano algo :manos_formando_un_corazón_tono_de_piel_claro:,0,misc,6,milagro gano  manos_formando_un_corazón_tono_de_piel_claro ,5,1.0
2023-01-06 00:00:00,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento :luna_nueva_con_cara:,1,misc,15,siii amigo jajaja padre puedes inveir da buen rendimiento  luna_nueva_con_cara ,5,1.0
2023-01-06 00:00:00,nunca había ganado nada antes :chispas: hahaha,1,misc,7,nunca ganado  chispas  hahaha,1,0.0
2023-01-06 00:00:00,Con el CashBack de pude pagar mi servicio de internet. yei :),1,misc,12,cashback pude pagar servicio internet  yei  ),1,0.0
2023-01-07 00:00:00,Gracias!!!,0,misc,1,gracias   ,5,1.0
2023-01-07 00:00:00,"Listo, gracias",0,misc,2,listo  gracias,5,1.0
2023-01-07 00:00:00,Si gracias,0,misc,2,si gracias,5,1.0
2023-01-08 00:00:00,A mí me llegó una semana después aprox,1,misc,8,llegó semana después aprox,1,0.0
2023-01-09 00:00:00,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,1,support,15,hola buen día dudas cuenta podrían ponerse contacto  muchas gracias ,4,1.0
2023-01-10 00:00:00,Muchas gracias!,0,misc,2,muchas gracias ,5,1.0
2023-01-10 00:00:00,Muchas gracias :manos_en_oración:,0,misc,3,muchas gracias  manos_en_oración ,5,1.0
2023-01-10 00:00:00,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",1,support,27,bloquea tarjeta 5 minutos  posteriomente vuelves desbloquear agregas  solución  confirmas tweet favor ,1,0.0
2023-01-10 00:00:00,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",1,misc,51,35000 udis ( 184000 ) de toda plataformas inveido mejores finsus cetes largo plazo heybanco mejor opción fondo emergencia  liquidez semanal  finsus rededor 90 % poafolio ,5,1.0
2023-01-11 00:00:00,Excelente Gracias por responder :manos_en_oración: estaremos muy atentos :apretón_de_manos:,0,misc,9,excelente gracias responder  manos_en_oración  atentos  apretón_de_manos ,5,1.0
2023-01-11 00:00:00,"Pues bueno, me quedé sin cena, muchas gracias :pulgar_hacia_arriba:",1,misc,9,pues bueno  quedé cena  muchas gracias  pulgar_hacia_arriba ,3,0.0
2023-01-11 00:00:00,"Gracias e igualmente, bendiciones :manos_en_oración:",0,misc,5,gracias igualmente  bendiciones  manos_en_oración ,5,1.0
2023-01-11 00:00:00,Vale estoy esperando,0,misc,3,vale esperando,4,1.0
2023-01-11 00:00:00,Muchas gracias espero la respuesta,0,misc,5,muchas gracias espero respuesta,5,1.0
2023-01-13 00:00:00,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos :cara_radiante_con_ojos_sonrientes:,1,misc,14,gané 99 pesitos crédito amazon coesía agradables sujetos  cara_radiante_con_ojos_sonrientes ,1,0.0
2023-01-13 00:00:00,es mejor,0,misc,2,mejor,5,1.0
2023-01-13 00:00:00,Contéstenme por favor,1,support,3,contéstenme favor,5,1.0
2023-01-14 00:00:00,Muchas gracias que amables :cara_feliz_con_ojos_sonrientes:,0,misc,5,muchas gracias amables  cara_feliz_con_ojos_sonrientes ,5,1.0
2023-01-14 00:00:00,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",1,misc,28,heybanco años cliente bancomer encontre verdad agusto servicios  app tarjetas debito credito,5,1.0
2023-01-14 00:00:00,amigos les mandé dm gracias,1,support,5,amigo mandé dm gracias,5,1.0
2023-01-14 00:00:00,solicito su ayuda gracias,1,support,4,solicito ayuda gracias,5,1.0
2023-01-15 00:00:00,Gracias!Ya respondí.Quedo atenta,0,misc,3,gracias  respondíquedo atenta,5,1.0
2023-01-16 00:00:00,Va gracias,0,misc,2,va gracias,5,1.0
2023-01-16 00:00:00,No sé ni a qué le piqué pero muchas gracias:cara_llorando_de_risa::corazón_rojo:,0,misc,10,sé piqué muchas gracias  cara_llorando_de_risa  corazón_rojo ,1,0.0
2023-01-16 00:00:00,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",1,misc,28,planeación temporada 2023 equipos  gracias ocnfianza día 1 viene bomba patrocinio vamos doblete    } @ davilacarloss,1,0.0
2023-01-16 00:00:00,Por eso son mi banco 1 :estrella::estrella::estrella::estrella::estrella:,1,misc,7,banco 1  estrella  estrella  estrella  estrella  estrella ,1,0.0
2023-01-17 00:00:00,Gracias,0,misc,1,gracias,5,1.0
2023-01-17 00:00:00,Thanks!,0,misc,1,thanks ,5,1.0
2023-01-17 00:00:00,Muchas gracias!,0,misc,2,muchas gracias ,5,1.0
2023-01-17 00:00:00,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",1,misc,36,muchas gracias  ayudó suficiente  cargo procedió  poaron bn aun pude comunicar teléfono  amables  mil gracias interés hizo cargo,5,1.0
2023-01-17 00:00:00,"Increíble, gracias HeyBanco!!@heybanco",1,misc,3,increíble  gracias heybanco   @ heybanco,5,1.0
2023-01-17 00:00:00,Me contestaron que sí.,0,misc,4,contestaron ,1,0.0
2023-01-18 00:00:00,Gracias,0,misc,1,gracias,5,1.0
2023-01-18 00:00:00,Gracias!,0,misc,1,gracias ,5,1.0
2023-01-18 00:00:00,Graciaaas.,0,misc,1,graciaaas ,3,0.0
2023-01-18 00:00:00,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",1,misc,24,gracias pendiente  segura va poner pilas lleguen incentivos  si pidiendo apoyo ,3,0.0
2023-01-18 00:00:00,":bolsa_de_dinero:La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",1,misc,53, bolsa_de_dinero  sexta opción opción mejores  pagaré 7 días mejor mercado tasa 10 % anual solo inversión aquí $ 5000  plan metas dan rendimiento me vencido 4 % dinero disponible cualquier momento,1,0.0
2023-01-18 00:00:00,:bandera_guatemala: qué buena onda por vos David :manos_aplaudiendo::manos_aplaudiendo: a disfrutarlo!!!,0,misc,10, bandera_guatemala  buena onda vos david  manos_aplaudiendo  manos_aplaudiendo  disfrutarlo   ,5,1.0
2023-01-19 00:00:00,¡Gracias,0,misc,1,gracias,5,1.0
2023-01-19 00:00:00,"¡Hola!, me pueden apoyar por favor :cara_haciendo_una_mueca:",1,support,7,hola   pueden apoyar favor  cara_haciendo_una_mueca ,1,0.0
2023-01-19 00:00:00,"Eso se agradece, el aviso :manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio:",0,misc,6,agradece  aviso  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio  manos_aplaudiendo_tono_de_piel_claro_medio ,5,1.0
