date,time,tweet,car,pal,reviewText,sentNLTK,sentSpnsh,sentTransf
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre",62,8,"resuelto , muchísimas gracias , excelente servicio siempre",0,0.9991678646569544,5
2023-01-02,,"Muchas gracias, espero su dm",28,5,"muchas gracias , espero dm",0,0.40884561958857035,5
2023-01-02,,Muchas gracias!,15,2,muchas gracias !,0,0.47056419380391146,5
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,159,28,similar paso . quería renovar token poder hacer transferencia cerrar cuenta wow . fácil sacar dinero ventanilla .,1,0.06269465342913218,1
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! :bíceps_flexionado_tono_de_piel_claro_medio::bolsa_de_dinero:,252,47,yeeeei ! través cuenta acabo contratar cuenta ahorro reto 2023 tener 25 mil peso final año . súper herramienta domiciliar cuenta eje así ahorrar disciplinadamente cada semana ! vamos ! ! ! : bíceps_flexionado_tono_de_piel_claro_medio : :bolsa_de_dinero :,0,0.0031873555591648674,1
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,69,13,señal necesitan tener mínimo dinero banamex,0,0.0331774024863812,1
2023-01-03,,Gracias :cara_radiante_con_ojos_sonrientes:,9,2,gracias : cara_radiante_con_ojos_sonrientes :,0,0.5533970533999424,5
2023-01-03,,Muchas gracias :cara_feliz_con_ojos_sonrientes:,16,3,muchas gracias : cara_feliz_con_ojos_sonrientes :,0,0.47056419380391146,5
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",182,36,"sé , recomiendo inversión . mejores rendimientos visto , plazo 7 días . chingón , límite 20k inversón .",0,0.173362568503126,5
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,53,10,gracias playera dieron galerías gdl .,0,0.46053444109825853,5
2023-01-04,,buen día...tengo problemas con mi cuenta,40,6,buen día ... problemas cuenta,0,0.3577995676731961,4
2023-01-05,,Gracias,7,1,gracias,0,0.5533970533999424,5
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio :manos_levantadas_celebrando_tono_de_piel_claro:,55,9,respetos ustedes ... gracias servicio : manos_levantadas_celebrando_tono_de_piel_claro :,0,0.5174534479834784,5
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",71,14,"si bloquee desbloquee pude hacer deposito oxxo , gracias",0,0.2098522708461485,1
2023-01-06,,"Ya todo bien, gracias :pulgar_hacia_arriba:",23,5,"bien , gracias : pulgar_hacia_arriba :",0,0.6824910690522387,4
2023-01-06,,Milagro que me gano algo :manos_formando_un_corazón_tono_de_piel_claro:,27,6,milagro gano : manos_formando_un_corazón_tono_de_piel_claro :,0,0.49789225920557484,5
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento :luna_nueva_con_cara:,75,15,siii amigo jajaja padre puedes inveir da buen rendimiento : luna_nueva_con_cara :,0,0.511900412670027,5
2023-01-06,,nunca había ganado nada antes :chispas: hahaha,38,7,nunca ganado : chispas : hahaha,1,0.15213999863611508,1
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),61,12,cashback pude pagar servicio internet . yei : ),0,0.06743468708816869,1
2023-01-07,,Gracias!!!,10,1,gracias ! ! !,0,0.5533970533999424,5
2023-01-07,,"Listo, gracias",14,2,"listo , gracias",0,0.41038161275853924,5
2023-01-07,,Si gracias,10,2,si gracias,0,0.38293355619770625,5
2023-01-08,,A mí me llegó una semana después aprox,38,8,llegó semana después aprox,0,0.04886677532943335,1
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,95,15,hola buen día dudas cuenta podrían ponerse contacto ... muchas gracias ..,0,0.06986928761167567,5
2023-01-10,,Muchas gracias!,15,2,muchas gracias !,0,0.47056419380391146,5
2023-01-10,,Muchas gracias :manos_en_oración:,16,3,muchas gracias : manos_en_oración :,0,0.47056419380391146,5
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",148,27,"bloquea tarjeta 5 minutos , posteriomente vuelves desbloquear agregas . solución , confirmas tweet favor .",1,0.0035694369943383244,1
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",273,51,"35,000 udis ( 184,000 ) .de toda plataformas inveido mejores finsus cetes largo plazo heybanco mejor opción fondo emergencia , liquidez semanal . finsus rededor 90 % poafolio .",0,0.7367659903008843,5
2023-01-11,,Excelente Gracias por responder :manos_en_oración: estaremos muy atentos :apretón_de_manos:,57,9,excelente gracias responder : manos_en_oración : atentos : apretón_de_manos :,0,0.9944518759052551,5
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias :pulgar_hacia_arriba:",47,9,"pues bueno , quedé cena , muchas gracias : pulgar_hacia_arriba :",0,0.11929627037464587,4
2023-01-11,,"Gracias e igualmente, bendiciones :manos_en_oración:",35,5,"gracias igualmente , bendiciones : manos_en_oración :",0,0.5533970533999424,5
2023-01-11,,Vale estoy esperando,20,3,vale esperando,0,0.08828054785693178,4
2023-01-11,,Muchas gracias espero la respuesta,34,5,muchas gracias espero respuesta,0,0.0697508845070271,5
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos :cara_radiante_con_ojos_sonrientes:,74,14,gané 99 pesitos crédito amazon coesía agradables sujetos : cara_radiante_con_ojos_sonrientes :,1,0.24954632968704415,1
2023-01-13,,es mejor,8,2,mejor,0,0.6179218016796508,5
2023-01-13,,Contéstenme por favor,21,3,contéstenme favor,1,0.12320898036135165,5
2023-01-14,,Muchas gracias que amables :cara_feliz_con_ojos_sonrientes:,28,5,muchas gracias amables : cara_feliz_con_ojos_sonrientes :,0,0.7915272799176345,5
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",150,28,"heybanco años cliente bancomer encontre verdad agusto servicios , app tarjetas debito credito",0,0.1042943711984356,5
2023-01-14,,amigos les mandé dm gracias,27,5,amigo mandé dm gracias,0,0.33820835788091774,5
2023-01-14,,solicito su ayuda gracias,25,4,solicito ayuda gracias,0,0.4593415579477704,5
2023-01-15,,Gracias!Ya respondí.Quedo atenta,32,3,gracias ! respondí.quedo atenta,0,0.5533970533999424,5
2023-01-16,,Va gracias,10,2,va gracias,0,0.3027439422507404,5
2023-01-16,,No sé ni a qué le piqué pero muchas gracias:cara_llorando_de_risa::corazón_rojo:,46,10,sé piqué muchas gracias : cara_llorando_de_risa : :corazón_rojo :,0,0.17444787085427835,1
2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",163,28,"planeación temporada 2023 equipos , gracias ocnfianza día 1 viene bomba patrocinio vamos doblete ! ! ! } @ davilacarloss",0,0.027795022595502084,1
2023-01-16,,Por eso son mi banco 1 :estrella::estrella::estrella::estrella::estrella:,28,7,banco 1 : estrella : :estrella : :estrella : :estrella : :estrella :,0,0.00261710100548798,1
2023-01-17,,Gracias,7,1,gracias,0,0.5533970533999424,5
2023-01-17,,Thanks!,7,1,thanks !,1,0.49789225920557484,5
2023-01-17,,Muchas gracias!,15,2,muchas gracias !,0,0.47056419380391146,5
